2021-12-18 09:39:49.629 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-12-18 09:39:52.414 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:C:\Users\DELL\nacos\config
2021-12-18 09:39:52.497 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2021-12-18 09:39:52.653 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[privilege-service] & group[DEFAULT_GROUP]
2021-12-18 09:39:52.711 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[privilege-service.yaml] & group[DEFAULT_GROUP]
2021-12-18 09:39:52.832 [main] INFO  com.alibaba.nacos.client.config.utils.JvmUtil - isMultiInstance:false
2021-12-18 09:39:52.848 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-privilege-service-dev.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-privilege-service.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-privilege-service,DEFAULT_GROUP'}]
2021-12-18 09:39:52.860 [main] INFO  c.e.x.p.p.PrivilegeServiceApplication - The following profiles are active: dev
2021-12-18 09:39:54.812 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-18 09:39:54.816 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-18 09:39:54.857 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2021-12-18 09:39:55.323 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=5a27607c-88fe-3e01-99fc-f34e85bada08
2021-12-18 09:39:56.358 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8096 (http)
2021-12-18 09:39:56.380 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8096"]
2021-12-18 09:39:56.382 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
