2021-12-02 20:34:24.937 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.edu.xmu.privilegegateway.privilegeservice.controller.PrivilegeControllerTest], using SpringBootContextLoader
2021-12-02 20:34:24.942 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.edu.xmu.privilegegateway.privilegeservice.controller.PrivilegeControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-12-02 20:34:25.140 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-12-02 20:34:25.162 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4985cbcb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@72f46e16, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3c9168dc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@332a7fce, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@549621f3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@54361a9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@32232e55, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5217f3d0, org.springframework.test.context.event.EventPublishingTestExecutionListener@37ebc9d8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@293bb8a5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2416a51, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6fa590ba, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6e9319f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@72e34f77, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7bf9b098]
2021-12-02 20:34:25.986 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-12-02 20:34:26.010 [main] INFO  c.e.x.p.p.controller.PrivilegeControllerTest - Starting PrivilegeControllerTest using Java 11.0.12 on LAPTOP-CB1SPUCV with PID 21432 (started by 11872 in C:\Users\11872\Desktop\OOADRepo\Fork\privilegegateway\privilegeservice)
2021-12-02 20:34:26.012 [main] INFO  c.e.x.p.p.controller.PrivilegeControllerTest - No active profile set, falling back to default profiles: default
2021-12-02 20:34:27.208 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-02 20:34:27.211 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-02 20:34:27.243 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 0 Redis repository interfaces.
2021-12-02 20:34:27.533 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=114311da-907c-3e9e-8722-ae2f2999d41e
2021-12-02 20:34:28.542 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2021-12-02 20:34:29.340 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-12-02 20:34:30.140 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 2,Sign = 07fc539235716e80dc4405464750eaadfcbe05cb086cd3b47adbf9915385c42e. cacuSign=c75236f31e94c5acde551fecd61e20c72c36b936ac8e99daf190653604b39f84
2021-12-02 20:34:30.141 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 2
2021-12-02 20:34:30.141 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 3,Sign = 95c5a76b55d51deb0be50401bb15bd3cb9c56a6a4df189886c1233e8dd540d8c. cacuSign=4ae68229f211b0926ed628e1173c383b66f6106efc9db66f2c6eb9202159b80a
2021-12-02 20:34:30.141 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 3
2021-12-02 20:34:30.141 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 4,Sign = 451a3e273031eddc37d612882eb81f54f5a919ed2212ac2a019a915506794538. cacuSign=c2e9e27f9eac98ce5809e2961e6cb9250f2e41249d87f6faddcb27c4ea1936ff
2021-12-02 20:34:30.141 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 4
2021-12-02 20:34:30.141 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 5,Sign = f48de8b17105f78f10e6197e9ddda857f60a056d57d0567123035d8d45be8355. cacuSign=73ec590c6b4c2ec1309a967d0c80a057f724839539c98e700f905826c5c08f7c
2021-12-02 20:34:30.141 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 5
2021-12-02 20:34:30.141 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 6,Sign = e8f62f17c65501a70002608cbde2c3f8a727974e67ad589928b33a7139a25815. cacuSign=6b67104547a559bd67c0f8af3e17b08b5293d8cb69f7a7e8d13f99eef0628e1e
2021-12-02 20:34:30.141 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 6
2021-12-02 20:34:30.142 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 7,Sign = 457b0d2fe400b23c693f7db0ae9738791b2979b476ebb9e483d414dcd31c0119. cacuSign=edcdf7ca79696666854a2ce0ab23d098a45ca86c86347a0a955719e8a566596d
2021-12-02 20:34:30.142 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 7
2021-12-02 20:34:30.142 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 8,Sign = af7b69ed09932d09da4f14e8771f5fece8c00b1e9c9208705501a0660e8cf589. cacuSign=d62f03871437ee8d2964357be7ab8dfe367afe452dd87df2b1eb6eb54dd127ea
2021-12-02 20:34:30.142 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 8
2021-12-02 20:34:30.142 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 9,Sign = 95b0aa079fd9a210d563ce34bc4f44c3493c2df4eff2a0aacf5a92cb6fefffd1. cacuSign=830411f41cb3406476ba6a821701ab95d791c49f8c95bc147a01600778b3fed9
2021-12-02 20:34:30.142 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 9
2021-12-02 20:34:30.142 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 10,Sign = 913f1d0d85d052ecd1494bff991a98c6ab73ef43036eb5b8c043b17a60a0678c. cacuSign=683c94807a2ea0d4a09c269cbe9d0887f7228c85b112d60eedc30cd0e19b8753
2021-12-02 20:34:30.142 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 10
2021-12-02 20:34:30.142 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 11,Sign = f92a7930afdd8dae935471b689930efcb29b17396115c0a17a39c4064e129121. cacuSign=71ffa55c0813ecfecfa024443bd289395f119c4c54fb416ec2e617b7e2b8beb8
2021-12-02 20:34:30.142 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 11
2021-12-02 20:34:30.142 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 12,Sign = 4be1f710179eb5530b8e453e88d0aab8cb5e22114f3c113867c494e22c04ed8e. cacuSign=9c37939b7898972a532fb20e90abe4b40c9b0ee57b2ac68e08c29c0dd011c626
2021-12-02 20:34:30.142 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 12
2021-12-02 20:34:30.143 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 13,Sign = cb4329d73e422f37a521e9ba75aacbbe1360477f5422cee4160d3ada0bbbaaa4. cacuSign=4ff1a11131a5493443a7230a38bdef4adebd99bf1e51999df6049f183aa37433
2021-12-02 20:34:30.143 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 13
2021-12-02 20:34:30.143 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 14,Sign = 291c2f3703a762ee80553c00ab3d303a889b1d969b1638b1cc392e6ff161ccbd. cacuSign=105f94dc2778bf8c5168b58b2058fb257f02896dc94de2ae62ea113c2fe842d8
2021-12-02 20:34:30.143 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 14
2021-12-02 20:34:30.143 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 17,Sign = e630155e6fd2743ae17e1c2db316ffa4a8bd8cbc583e6b40d1a43d21f920fdf4. cacuSign=1c2d06ea1b121b03198f440bbccceb82313e204e5cbc557be25848aca5f2175d
2021-12-02 20:34:30.143 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 17
2021-12-02 20:34:30.143 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 18,Sign = 3815913d393b7296771e00eee5dc94e82709cf1452c5897c6093a6eb860befeb. cacuSign=7f239d56771234f6d88910bb8570c1a140cc970b8306a43829d44d6236373574
2021-12-02 20:34:30.143 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 18
2021-12-02 20:34:30.143 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 19,Sign = 1ac9387a4f42405fe47de2450ac4bd5abed7b7ebc312159b088f17b3d4062fca. cacuSign=8282dde54f2e946171145b1a7c6f659fdf4d64b5a562781c06782b147ddacd91
2021-12-02 20:34:30.143 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 19
2021-12-02 20:34:30.143 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: id = 20,Sign = 372271986bb77c582fc0f707ad6a64eadbaf54949360cacd614953ac26697d82. cacuSign=cee059aab135c81f5a500d099e6dbe853b649e04b47a813ec45cd6395b54f203
2021-12-02 20:34:30.143 [main] ERROR c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: Wrong Signature(auth_privilege): id = 20
2021-12-02 20:34:30.167 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/groupons/{id}-2 p = Privilege(id=21, name=管理员对SPU修改团购活动, url=/shops/{id}/groupons/{id}, requestType=PUT, signature=37796de7850b4e6357d24b1f52c0595cc9ff1d0036595b27f818ecada6c1d721, gmtCreate=2020-12-12T14:28:52, gmtModified=null, key=/shops/{id}/groupons/{id}-2, cacuSignature=37796de7850b4e6357d24b1f52c0595cc9ff1d0036595b27f818ecada6c1d721)
2021-12-02 20:34:31.145 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/groupons/{id}-3 p = Privilege(id=22, name=管理员删除SPU团购活动, url=/shops/{id}/groupons/{id}, requestType=DELETE, signature=fc8ea9af63d040c962d94cf386ef115a410d1376e9835804c51c0dc4050abccd, gmtCreate=2020-12-12T14:28:55, gmtModified=null, key=/shops/{id}/groupons/{id}-3, cacuSignature=fc8ea9af63d040c962d94cf386ef115a410d1376e9835804c51c0dc4050abccd)
2021-12-02 20:34:31.195 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/newshops/{id}/audit-2 p = Privilege(id=28, name=管理员审核店铺, url=/shops/{id}/newshops/{id}/audit, requestType=PUT, signature=ae602f442ad47491529685b218405985d44fcd5ae4c71a0fd2c182eb04538125, gmtCreate=2020-12-12T14:29:01, gmtModified=null, key=/shops/{id}/newshops/{id}/audit-2, cacuSignature=ae602f442ad47491529685b218405985d44fcd5ae4c71a0fd2c182eb04538125)
2021-12-02 20:34:31.242 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/onshelves-2 p = Privilege(id=29, name=店家上线店铺, url=/shops/{id}/onshelves, requestType=PUT, signature=3602da654e02c539e7e0a3b09deb8427620cdc599474c571526285d1a85e78fb, gmtCreate=2020-12-12T14:29:02, gmtModified=null, key=/shops/{id}/onshelves-2, cacuSignature=3602da654e02c539e7e0a3b09deb8427620cdc599474c571526285d1a85e78fb)
2021-12-02 20:34:31.289 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/offshelves-2 p = Privilege(id=30, name=店家下线店铺, url=/shops/{id}/offshelves, requestType=PUT, signature=b4a47a01c42e67c4d06db5a814239f23d7dc87e63c46b91fa5a4a361ef9a9bb7, gmtCreate=2020-12-12T14:29:03, gmtModified=null, key=/shops/{id}/offshelves-2, cacuSignature=b4a47a01c42e67c4d06db5a814239f23d7dc87e63c46b91fa5a4a361ef9a9bb7)
2021-12-02 20:34:31.338 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/adminusers/{id}/approve-2 p = Privilege(id=31, name=管理员审核用户, url=/shops/{id}/adminusers/{id}/approve, requestType=PUT, signature=90d0a1c5253b97802c8bb14cd1220715d8a9c217a7117a4c0893d55920efab76, gmtCreate=2020-12-13T17:46:39, gmtModified=null, key=/shops/{id}/adminusers/{id}/approve-2, cacuSignature=90d0a1c5253b97802c8bb14cd1220715d8a9c217a7117a4c0893d55920efab76)
2021-12-02 20:34:31.388 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/footprints-0 p = Privilege(id=32, name=管理员查看浏览记录, url=/shops/{id}/footprints, requestType=GET, signature=4473dadee195c791ed10d95601a0e75156101d1b5d1d79f34e157c7b17941557, gmtCreate=2020-12-13T17:53:29, gmtModified=null, key=/shops/{id}/footprints-0, cacuSignature=4473dadee195c791ed10d95601a0e75156101d1b5d1d79f34e157c7b17941557)
2021-12-02 20:34:31.434 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/advertisement/{id}/default-2 p = Privilege(id=33, name=管理员设置默认广告, url=/shops/{id}/advertisement/{id}/default, requestType=PUT, signature=178f8a140e85a0ca000672bd6b6363a5e6083e7a9ce27b5935152d01b81a6d89, gmtCreate=2020-05-13T17:54:19, gmtModified=null, key=/shops/{id}/advertisement/{id}/default-2, cacuSignature=178f8a140e85a0ca000672bd6b6363a5e6083e7a9ce27b5935152d01b81a6d89)
2021-12-02 20:34:31.482 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/advertisement/timesegments-1 p = Privilege(id=34, name=平台管理员新增广告时间段, url=/shops/{id}/advertisement/timesegments, requestType=POST, signature=d5aaa27f6c5d59aae46c6e4c56202fed07b78285d774ea9984aad40166d60382, gmtCreate=2020-12-13T23:57:29, gmtModified=null, key=/shops/{id}/advertisement/timesegments-1, cacuSignature=d5aaa27f6c5d59aae46c6e4c56202fed07b78285d774ea9984aad40166d60382)
2021-12-02 20:34:31.530 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/advertisement/timesegments-0 p = Privilege(id=35, name=管理员获取广告时间段列表, url=/shops/{id}/advertisement/timesegments, requestType=GET, signature=b1d9e26ea2df00d6d58b97b47f3661f00d7a292ca6445a23d98593217ddcb125, gmtCreate=2020-12-13T23:58:09, gmtModified=null, key=/shops/{id}/advertisement/timesegments-0, cacuSignature=b1d9e26ea2df00d6d58b97b47f3661f00d7a292ca6445a23d98593217ddcb125)
2021-12-02 20:34:31.583 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/flashsale/timesegments-1 p = Privilege(id=36, name=平台管理员新增秒杀时间段, url=/shops/{id}/flashsale/timesegments, requestType=POST, signature=3fdfd7206383b16a5790ba53f262578f32bbe13754b4477ba70074bd61b20e21, gmtCreate=2020-12-13T23:59:13, gmtModified=null, key=/shops/{id}/flashsale/timesegments-1, cacuSignature=3fdfd7206383b16a5790ba53f262578f32bbe13754b4477ba70074bd61b20e21)
2021-12-02 20:34:31.630 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/flashsale/timesegments-0 p = Privilege(id=37, name=管理员获取秒杀时间段列表, url=/shops/{id}/flashsale/timesegments, requestType=GET, signature=7bbdc0cd5b1a98522edc0858de5f60e3c5c31338893c216d5f2a55e9c8ff967d, gmtCreate=2020-12-13T23:59:40, gmtModified=null, key=/shops/{id}/flashsale/timesegments-0, cacuSignature=7bbdc0cd5b1a98522edc0858de5f60e3c5c31338893c216d5f2a55e9c8ff967d)
2021-12-02 20:34:31.679 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/advertisement/timesegments/{id}-3 p = Privilege(id=38, name=平台管理员删除广告时间段, url=/shops/{id}/advertisement/timesegments/{id}, requestType=DELETE, signature=7f6d8a2f79fea1eb9afa2831b7d6b29c42a690ca0fd9f4a6c907d178d7c4cdbb, gmtCreate=2020-12-14T00:00:29, gmtModified=null, key=/shops/{id}/advertisement/timesegments/{id}-3, cacuSignature=7f6d8a2f79fea1eb9afa2831b7d6b29c42a690ca0fd9f4a6c907d178d7c4cdbb)
2021-12-02 20:34:31.725 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/flashsale/timesegments/{id}-3 p = Privilege(id=39, name=平台管理员删除秒杀时间段, url=/shops/{id}/flashsale/timesegments/{id}, requestType=DELETE, signature=2db9b58a0009ac786d5fc16c805439dc2aca85fb89af0b5f1d3446b8dfdd3781, gmtCreate=2020-12-14T00:01:33, gmtModified=null, key=/shops/{id}/flashsale/timesegments/{id}-3, cacuSignature=2db9b58a0009ac786d5fc16c805439dc2aca85fb89af0b5f1d3446b8dfdd3781)
2021-12-02 20:34:31.773 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/advertisement/{id}-2 p = Privilege(id=40, name=管理员修改广告内容, url=/shops/{id}/advertisement/{id}, requestType=PUT, signature=65d017164d65b4e4e088d063c638908ed37c78d78b196ffe090297fa74a47370, gmtCreate=2020-12-14T00:02:37, gmtModified=null, key=/shops/{id}/advertisement/{id}-2, cacuSignature=65d017164d65b4e4e088d063c638908ed37c78d78b196ffe090297fa74a47370)
2021-12-02 20:34:31.819 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/advertisement/{id}-3 p = Privilege(id=41, name=管理员删除某一个广告, url=/shops/{id}/advertisement/{id}, requestType=DELETE, signature=08aaf5d0da8db0732c65b64ec29a3d464b84428d4f2a50c4101fdbd67570175f, gmtCreate=2020-12-14T00:04:25, gmtModified=null, key=/shops/{id}/advertisement/{id}-3, cacuSignature=08aaf5d0da8db0732c65b64ec29a3d464b84428d4f2a50c4101fdbd67570175f)
2021-12-02 20:34:31.867 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/advertisement/{id}/uploadImg-1 p = Privilege(id=42, name=管理员上传广告图片, url=/shops/{id}/advertisement/{id}/uploadImg, requestType=POST, signature=e5ba0892ed212f527f73cbaac6c1d7284e78352d74e339d987d19c0fdc648a8b, gmtCreate=2020-12-14T00:04:27, gmtModified=null, key=/shops/{id}/advertisement/{id}/uploadImg-1, cacuSignature=e5ba0892ed212f527f73cbaac6c1d7284e78352d74e339d987d19c0fdc648a8b)
2021-12-02 20:34:31.916 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/advertisement/{id}/onshelves-2 p = Privilege(id=43, name=管理员上架广告, url=/shops/{id}/advertisement/{id}/onshelves, requestType=PUT, signature=aa1dce608b75c430b94dc9ad46a18ed014d552f35a534bce9c868d6a9948cb5b, gmtCreate=2020-12-14T00:04:28, gmtModified=null, key=/shops/{id}/advertisement/{id}/onshelves-2, cacuSignature=aa1dce608b75c430b94dc9ad46a18ed014d552f35a534bce9c868d6a9948cb5b)
2021-12-02 20:34:31.965 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/advertisement/{id}/offshelves-2 p = Privilege(id=44, name=管理员下架广告, url=/shops/{id}/advertisement/{id}/offshelves, requestType=PUT, signature=171658899c2f5ca5c6864e74953cec80bccdf3aac0631c169718d5958d26d780, gmtCreate=2020-12-14T00:09:11, gmtModified=null, key=/shops/{id}/advertisement/{id}/offshelves-2, cacuSignature=171658899c2f5ca5c6864e74953cec80bccdf3aac0631c169718d5958d26d780)
2021-12-02 20:34:32.012 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/advertisement/{id}/audit-2 p = Privilege(id=45, name=管理员审核广告, url=/shops/{id}/advertisement/{id}/audit, requestType=PUT, signature=bd3f49ae30ee8b27e90f9acc83c0ed3e402a99ad46b7fe56f876b373fb4f1e6d, gmtCreate=2020-12-14T00:09:13, gmtModified=null, key=/shops/{id}/advertisement/{id}/audit-2, cacuSignature=bd3f49ae30ee8b27e90f9acc83c0ed3e402a99ad46b7fe56f876b373fb4f1e6d)
2021-12-02 20:34:32.058 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/timesegments/{id}/advertisement-1 p = Privilege(id=46, name=管理员在广告时段下新建广告, url=/shops/{id}/timesegments/{id}/advertisement, requestType=POST, signature=8a4eca902ade806e747c0b55781cf77b258c455202b92694a91260734b91ceaa, gmtCreate=2020-12-14T00:09:15, gmtModified=null, key=/shops/{id}/timesegments/{id}/advertisement-1, cacuSignature=8a4eca902ade806e747c0b55781cf77b258c455202b92694a91260734b91ceaa)
2021-12-02 20:34:32.105 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/timesegments/{tid}/advertisement/{id}-1 p = Privilege(id=47, name=管理员在广告时段下增加广告, url=/shops/{id}/timesegments/{tid}/advertisement/{id}, requestType=POST, signature=5123b18747400769d0071bfad2cdac6997a35f772074dff9ec92577ff7bd6559, gmtCreate=2020-12-14T00:09:16, gmtModified=null, key=/shops/{id}/timesegments/{tid}/advertisement/{id}-1, cacuSignature=5123b18747400769d0071bfad2cdac6997a35f772074dff9ec92577ff7bd6559)
2021-12-02 20:34:32.152 [main] DEBUG c.e.x.p.privilegeservice.dao.PrivilegeDao - afterPropertiesSet: key = /shops/{id}/skus/{id}/shareactivities-1 p = Privilege(id=48, name=平台或店家创建新的分享活动, url=/shops/{id}/skus/{id}/shareactivities, requestType=POST, signature=d2b062e496dc4cfb6f776a10c5839f1db616f5644f328f04fc6c9a14846b745d, gmtCreate=2020-12-14T00:09:17, gmtModified=null, key=/shops/{id}/skus/{id}/shareactivities-1, cacuSignature=d2b062e496dc4cfb6f776a10c5839f1db616f5644f328f04fc6c9a14846b745d)
